Наименование;Цена;Наличие
Ноутбуки;;
Acer Aspire 3810TZ-272G25i Intel® Core 2 Solo-SU2700 1,3 ГГц / 13.3'' WXGA / 2048Mb / 250Gb / Intel GMA X4500MHD-v64Mb / noCDROM / WiFi / VHP (LX.PE60X.085);24220 руб.;есть
Acer Aspire 5735Z-423G25Mi P-M-T4200 2,0 ГГц / 15.6'' WXGA / 3072Mb / 250Gb / Intel GMA X4500-v358Mb / DVD-RWx2 / WiFi / VHP (LX.ATR0X.381);21710 руб.;остатки
Acer Aspire 5735Z-322G25Mi P-M-T3200 2,0 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X4500-v64Mb / DVD-RWx2 / WiFi / VHP (LX.ATR0X.173);21980 руб.;остатки
Acer Aspire 4937G-654G32Mi C2D-T6500 1,83 ГГц / 14.0'' WXGA / 4096Mb / 320Gb / GeForce™ G105M-v512Mb / DVD-RW / WiFi / VHP (LX.P430X.104);31220 руб.;есть
Acer Extensa 5230E-582G16Mi Cel ULV-M585 2,16 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Intel GMA X4500-v128Mb / DVD-RWx2 / WiFi / Linux (LX.ECV0F.001);16300 руб.;есть
Acer Extensa 5230-161G16Mi Cel Duo-T1600 1,66 ГГц / 15.4'' WXGA / 1024Mb / 160Gb / Intel GMA X4500-v128Mb / DVD-RWx2 / WiFi / VHB (LX.EBA0Y.124);21720 руб.;остатки
Acer Extensa 5230E-902G16Mi Cel ULV-353 900 МГц / 15.4'' WXGA / 2048Mb / 160Gb / Intel GMA X4500-v128Mb / DVD-RWx2 / WiFi / VHB (LX.ECU0Y.139);16700 руб.;есть
Acer Extensa 5230-582G25MI Cel ULV-M575 2,0 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Intel GMA X4500-v128Mb / DVD-RWx2 / WiFi / VHB (LX.EBY0Y.012);17470 руб.;есть
Acer Extensa 5230-161G16Mi Cel Duo-T1600 1,66 ГГц / 15.4'' WXGA / 1024Mb / 160Gb / Intel GMA X4500-v128Mb / DVD-RWx2 / noWiFi / VHB (LX.ECU0Y.144);16180 руб.;есть
Acer Extensa 5230E-902G16Mi Cel ULV-900 2,2 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Intel GMA X4500-v128Mb / DVD-RWx2 / WiFi / Linux (LX.ECU0F.085);15920 руб.;есть
Acer Aspire 8930G-944G64Bi C2D-T9400 2,53 ГГц / 18.4'' WUXGA / 4096Mb / 640Gb / GeForce 9700M GT-v512Mb / Blu-Ray Combo / WiFi / VU (LX.ASZ0U.013);66000 руб.;остатки
Acer Aspire 8930G-844G32Bi C2D-P8400 2,26 ГГц / 18.4'' WUXGA / 4096Mb / 320Gb / GeForce 9700M GT-v512Mb / Blu-Ray Combo / WiFi / VHP (LX.ASZ0X.044);50520 руб.;остатки
