Наименование;Цена;Наличие
Ноутбуки;;
Asus X58L P-M-T3400 2,16 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Intel GMA X4500-v128Mb / DVD-RWx2 / WiFi / Linux ();20410 руб.;остатки
Asus F9E Cel Duo-T1500 1,86 ГГц / 12.0'' WXGA / 2048Mb / 160Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / DOS ();24140 руб.;остатки
Asus F9E C2D-T5450 1,66 ГГц / 12.0'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / VHB ();32240 руб.;остатки
Asus F9E C2D-T5550 1,83 ГГц / 12.0'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / VHB ();27620 руб.;остатки
Asus X50SL CS-T1500 2,0 ГГц / 15.4'' WXGA / 3072Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();28260 руб.;остатки
Asus N10Jb Intel® Atom-N280 1,66 ГГц / 10.0'' WSVGA / 1024Mb / 160Gb / GeForce™ G105M-v512Mb / noCDROM / WiFi / WinXP-H (90NV5A2591231URC106Y);18950 руб.;предзаказ
Asus F50SL C2D(Mn)-T5900 2,2 ГГц / 16.0'' WXGA / 3072Mb / 320Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / VHB (90NSSYC591242AMC206Y);33990 руб.;предзаказ
Asus F50SL P-M-T3400 2,16 ГГц / 16.0'' WXGA / 3072Mb / 250Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / VHB (90NSSYC591H62AMC106Y);30500 руб.;остатки
Asus F50SL Cel Duo-T1600 1,66 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / VHB (90NSSYB591A64AMC106Y);22160 руб.;предзаказ
Asus F50SL Cel Duo-T1600 1,66 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / Linux (90NSSYB591A64LXC106Y);20920 руб.;предзаказ
Asus F50SL Cel Duo-T3000 1,8 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / DOS ();19310 руб.;остатки
Asus F50SL P-M-T4200 2,0 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / VHB (90NSSYC591D64AMC106Y);24600 руб.;предзаказ
Asus F50SL P-M-T4200 2,0 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / Linux (90NSSYC591D64LXC106Y);22830 руб.;остатки
Asus G50Vt C2D-T9400 2,53 ГГц / 15.4'' WXGA / 4096Mb / 640Gb / NVIDIA® GeForce™ 9800M GS-v512Mb / Blu-Ray Combo / WiFi / VHP (90NSZA9B92211CMC106Y);46900 руб.;есть
Asus X61Z TurX2-QL-62 2,0 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / Radeon 3200-v256Mb / DVD-RWx2 / WiFi / VHB (90NT9YC492675AMC106Y);22780 руб.;предзаказ
Asus X61Z A64X2-QL-62 2,0 ГГц / 16.0'' WXGA / 3072Mb / 320Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / DOS ();23640 руб.;предзаказ
Asus X61Z TurX2-QL-62 2,0 ГГц / 16.0'' WXGA / 3072Mb / 250Gb / NVIDIA® GeForce™ 9400M G-v128Mb / DVD-RWx2 / WiFi / VHP (90NT9YC492672AMC106Y);22790 руб.;остатки
Asus X61Z TurX2-QL-62 2,0 ГГц / 16.0'' WXGA / 3072Mb / 250Gb / GeForce Go 7000-v128Mb / DVD-RWx2 / WiFi / VHB ();22420 руб.;остатки
Asus X61Z TurX2-QL-62 2,0 ГГц / 16.0'' WXGA / 3072Mb / 250Gb / Radeon 3200-v256Mb / DVD-RWx2 / WiFi / VHB (90NT9Y7492672AMC106Y);22380 руб.;предзаказ
Asus X61Z TurX2-RM-72 2,1 ГГц / 16.0'' WXGA / 3072Mb / 250Gb / Radeon 3200-v256Mb / DVD-RWx2 / WiFi / VHB ();25960 руб.;предзаказ
Asus X61Z TurX2-RM-72 2,1 ГГц / 16.0'' WXGA / 3072Mb / 250Gb / Radeon 3200-v256Mb / DVD-RWx2 / WiFi / VHP (90NT9YC492572AMC106Y);26120 руб.;остатки
Asus X61Z TurX2-QL-64 2,1 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / GeForce Go 7000-v128Mb / DVD-RWx2 / WiFi / VHB (90NT9YC492975AMC106Y);22390 руб.;предзаказ
Asus X61Z TurX2-QL-64 2,1 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / Linux без графической оболочки ();20790 руб.;остатки
Asus X61Z TurX2-QL-64 2,1 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / DOS (90NT9YC49297560C106Y);22350 руб.;остатки
Asus X61Z TurX2-RM-70 2,0 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / Radeon 3200-v256Mb / DVD-RWx2 / WiFi / DOS (90NT9XB49227560C106Y);20270 руб.;остатки
Asus U80V C2D-T6500 2,1 ГГц / 14.0'' WXGA / 3072Mb / 320Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / VHB ();36230 руб.;предзаказ
Asus U80V C2D-T6500 2,1 ГГц / 14.0'' WXGA / 3072Mb / 320Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / VHP (127977);40650 руб.;предзаказ
Asus F7Z TurX2-RM-72 2,1 ГГц / 17.1'' WXGA+ / 3072Mb / 320Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHP ();31220 руб.;предзаказ
Asus F7Z A64X2-QL-62 2,0 ГГц / 17.1'' WXGA+ / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHP (90NRBA9B91822AMC106Y);25960 руб.;предзаказ
Asus F7Z A64X2-QL-62 2,0 ГГц / 17.1'' WXGA+ / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHB (90NRBA5B91822AMC106Y);25960 руб.;предзаказ
Asus F7Z A64X2-QL-64 2,1 ГГц / 17.1'' WXGA+ / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHB (90NRBA9B91A22AMC106Y);26660 руб.;предзаказ
Asus F52Q Cel ULV-900 2,2 ГГц / 15.6'' WXGA / 2048Mb / 160Gb / Intel GMA X4500MHD-v358Mb / DVD-RW / WiFi / DOS (90NVDAC19285560C106Y);18680 руб.;предзаказ
Asus F52Q Cel ULV-900 2,2 ГГц / 15.6'' WXGA / 2048Mb / 160Gb / Intel GMA X4500MHD-v358Mb / DVD-RW / WiFi / VHB (90NVDAA192855AMC106Y);18580 руб.;остатки
Asus M51Vr C2D-T5800 2,0 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();23900 руб.;остатки
Asus M51Vr C2D-P8400 2,26 ГГц / 15.4'' WXGA / 3072Mb / 250Gb / Radeon 3470-v256Mb / Blu-Ray Combo / WiFi / VHB ();36950 руб.;остатки
Asus M51Vr C2D-T5900 2,2 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB (90NPSA4296C72AMC106Y);25590 руб.;предзаказ
Asus N10J Intel® Atom-N270 1,6 ГГц / 10.0'' WSVGA / 2048Mb / 250Gb / GeForce 9300M-v256Mb / DVD-RWx2 / WiFi / VHB ();24710 руб.;предзаказ
Asus N10J Intel® Atom-N270 1,6 ГГц / 10.0'' WSVGA / 1024Mb / 160Gb / GeForce 9300M-v256Mb / DVD-RWx2 / WiFi / WinXP-P (90NTRA1194111URC506Y);21600 руб.;остатки
Asus N10J Intel® Atom-N270 1,6 ГГц / 10.0'' WSVGA / 2048Mb / 250Gb / GeForce 9300M-v256Mb / DVD-RWx2 / WiFi / VB (90NS6A1192121EMC806Y);26720 руб.;предзаказ
Asus Eee PC S101 Black Intel® Atom-N270 1,6 ГГц / 10.2'' WSVGA / 1024Mb / 16Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H ();29420 руб.;остатки
Asus Eee PC S101 Black Intel® Atom-N270 1,6 ГГц / 10.2'' WSVGA / 1024Mb / 32Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / Linux ();29420 руб.;остатки
Asus X58C Cel ULV-M220 1,2 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / SiS M672-v64Mb / DVD-RWx2 / WiFi / VHB (90NRLAB393138AMC106Y);18190 руб.;есть
Asus X58C Cel ULV-M220 1,2 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / SiS M672-v64Mb / DVD-RWx2 / WiFi / DOS (90NRLAB39313860C106Y);17490 руб.;предзаказ
Asus X58C Cel ULV-M220 1,2 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / SiS M672-v64Mb / DVD-RWx2 / WiFi / VHB (90NRLAB391128AMC106Y);20080 руб.;остатки
Asus X58C Cel ULV-M220 1,2 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / SiS M672-v64Mb / DVD-RWx2 / WiFi / DOS ();17700 руб.;остатки
Asus M51Va C2D(Pn)-T9400 2,53 ГГц / 15.4'' WXGA+ / 4096Mb / 320Gb / Radeon 3650-v512Mb / Blu-Ray Combo / WiFi / VHP (90N-SPRA3394151CMC0Y);40190 руб.;предзаказ
Asus W90Vp C2D-P8600 2,4 ГГц / 18.4'' WUXGA / 6144Mb / 640Gb / ATI Mobility™ Radeon® HD 4870 CrossFireX™-v1024Mb / DVD-RWx2 / WiFi / VHP (90NQXA4B91658KMC806Y);92380 руб.;остатки
Asus W90Vp C2D-T9550 2,66 ГГц / 18.4'' WUXGA / 6144Mb / 1000Gb / ATI Mobility™ Radeon® HD 4870 CrossFireX™-v1024Mb / Blu-Ray Combo / WiFi / VHP (90NQXA4B93BJ8KMC806Y);111750 руб.;остатки
Asus W90Vp С2D (Qd)-T9550 2,1 ГГц / 18.4'' WUXGA / 6144Mb / 1000Gb / ATI Mobility™ Radeon® HD 4870 CrossFireX™-v1024Mb / Blu-Ray Combo / WiFi / VHP (127853);99860 руб.;предзаказ
Asus F6A conf. 8 Cel-M575 2,0 ГГц / 13.3'' WXGA / 2048Mb / 250Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VHB (90NMEAL395I12AMC506Y);24850 руб.;есть
Asus F6A conf. 6 C2D-T5900 2,2 ГГц / 13.0'' WXGA / 3072Mb / 250Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VHB (90NMEAL395G15AMC706Y);37020 руб.;остатки
Asus F6A conf. 7 P-M-T3400 2,16 ГГц / 13.3'' WXGA / 3072Mb / 250Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VHB (90NMEAQ395F15AMC506Y);27230 руб.;остатки
Asus F6A conf. 9 C2D-T5850 2,16 ГГц / 13.0'' WXGA / 3072Mb / 250Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VHB (90NMEAL395615AMC706Y);30170 руб.;остатки
Asus F6A conf. 10 P-M-T4200 2,0 ГГц / 13.3'' WXGA / 3072Mb / 250Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VHB (90NMEAL395P15AMC506Y);25650 руб.;остатки
Asus K70IO C2D-T6500 2,1 ГГц / 17.3'' WXGA+ / 4096Mb / 320Gb / NVIDIA® GeForce™ GT 120M-v1024Mb / DVD-RWx2 / WiFi / VHP (90NVQA2191523CMC206Y);39840 руб.;есть
Asus K70IO P-M-T4200 2,0 ГГц / 17.3'' WXGA+ / 4096Mb / 250Gb / NVIDIA® GeForce™ GT 120M-v1024Mb / DVD-RWx2 / WiFi / VHB (90NVQA2191233AMC106Y);32780 руб.;есть
Asus X51RL C2D-T5450 1,66 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Radeon X1100-v64Mb / DVD-RW / WiFi / WinXP-H (90NQMA219111107C106Y);23590 руб.;остатки
Asus K70AB TurX2-ZM-84 2,3 ГГц / 17.3'' WXGA+ / 4096Mb / 320Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / VHP ();34510 руб.;предзаказ
Asus K70AB TurX2-RM-74 2,2 ГГц / 17.3'' WXGA+ / 2048Mb / 250Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / VHB (90NW9A2191234AMC106Y);26620 руб.;есть
Asus K70AB TurX2-RM-74 2,2 ГГц / 17.3'' WXGA+ / 3072Mb / 320Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / VHB (90NW9A2191212AMC106Y);29650 руб.;предзаказ
Asus K70AB TurX2-RM-74 2,2 ГГц / 17.3'' WXGA+ / 2048Mb / 250Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / Linux (90NW9A2191234LXC106Y);26030 руб.;предзаказ
Asus K70AB TurX2-RM-74 2,2 ГГц / 17.3'' WXGA+ / 2048Mb / 250Gb / Radeon® HD 4570-v512Mb / DVD-RWx2 / WiFi / DOS ();25150 руб.;предзаказ
Asus K40C Cel ULV-M220 1,2 ГГц / 14.0'' WXGA / 1024Mb / 160Gb / SiS M672-v128Mb / DVD-RWx2 / WiFi / DOS (90NWNY119111160C63AY);15800 руб.;есть
Asus K40C Cel ULV-M220 1,2 ГГц / 14.0'' WXGA / 2048Mb / 250Gb / SiS M672-v128Mb / DVD-RWx2 / WiFi / DOS (90NWNY119112260C63AY);16890 руб.;предзаказ
Asus M50Vn C2D-P8600 2,4 ГГц / 15.4'' WSXGA+ / 4096Mb / 320Gb / GeForce 9650M GS-v1024Mb / Blu-Ray Combo / WiFi / VHP ();56160 руб.;предзаказ
Asus M50Vn C2D-P8600 2,4 ГГц / 15.4'' WXGA+ / 4096Mb / 320Gb / GeForce 9650M GS-v1024Mb / DVD-RWx2 / WiFi / VHP ();58320 руб.;остатки
Asus M50Vn C2D-P8400 2,26 ГГц / 15.4'' WXGA / 3072Mb / 320Gb / GeForce 9650M GS-v1024Mb / DVD-RWx2 / WiFi / VHP ();55630 руб.;остатки
Asus M50Vn C2D-P8400 2,26 ГГц / 15.4'' WXGA / 3072Mb / 320Gb / GeForce 9650M GS-v1024Mb / DVD-RWx2 / WiFi / VHP ();51870 руб.;остатки
Asus M50Vn C2D-P8600 2,4 ГГц / 15.4'' WXGA+ / 4096Mb / 320Gb / GeForce 9650M GS-v512Mb / DVD-RWx2 / WiFi / VHP ();46220 руб.;остатки
Asus W90Vn C2D-P8400 2,26 ГГц / 18.4'' Full HD / 4096Mb / 500Gb / NVIDIA® GeForce™ 9800M GS-v1024Mb / Blu-Ray Combo / WiFi / VHP ();181660 руб.;остатки
Asus N50Vn C2D-P8700 2,53 ГГц / 15.4'' WXGA / 4096Mb / 250Gb / GeForce 9650M GT-v1024Mb / DVD-RWx2 / WiFi / VHP ();41410 руб.;предзаказ
Asus N50Vn C2D-P8400 2,26 ГГц / 15.4'' WXGA / 3072Mb / 320Gb / GeForce 9650M GT-v1024Mb / DVD-RWx2 / WiFi / VHP ();42140 руб.;остатки
Asus N50Vn C2D-T9400 2,53 ГГц / 15.4'' WSXGA+ / 4096Mb / 500Gb / GeForce 9650M GT-v1024Mb / Blu-Ray Combo / WiFi / VHP ();68250 руб.;остатки
Asus N50Vn C2D-P8600 2,4 ГГц / 15.4'' WXGA / 4096Mb / 500Gb / GeForce 9650M GT-v1024Mb / DVD-RWx2 / WiFi / VHP ();47380 руб.;остатки
Asus N50Vn C2D-P8600 2,4 ГГц / 15.4'' WXGA / 3072Mb / 320Gb / GeForce 9650M GT-v1024Mb / DVD-RWx2 / WiFi / VHP ();42670 руб.;остатки
"Asus Bamboo 12"" C2D-T9400 2,53 ГГц / 12.0'' WXGA / 4096Mb / 320Gb / GeForce 9300M-v256Mb / DVD-RWx2 / WiFi / VB ()";71090 руб.;остатки
"Asus Bamboo 12"" C2D-P8600 2,4 ГГц / 12.0'' WXGA / 3072Mb / 320Gb / GeForce 9300M-v256Mb / DVD-RWx2 / WiFi / VB ()";54360 руб.;предзаказ
Asus F8Vr Red C2D-T5900 2,2 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();28890 руб.;предзаказ
Asus F8Vr Pink C2D(Pn)-P7350 2,0 ГГц / 14.1'' WXGA / 3072Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHP ();31640 руб.;предзаказ
Asus F8Vr Black C2D(Pn)-P8400 2,26 ГГц / 14.1'' WXGA / 3072Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHP ();37070 руб.;остатки
Asus F8Vr Red C2D(Pn)-P7350 2,0 ГГц / 14.1'' WXGA / 3072Mb / 250Gb / Radeon 3470-v256Mb / Blu-Ray Combo / WiFi / VHB ();31680 руб.;остатки
Asus F8Vr Black C2D(Pn)-P7350 2,0 ГГц / 14.1'' WXGA / 3072Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHP ();28830 руб.;остатки
Asus F8Vr Pink C2D(Pn)-P5800 2,0 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHP ();41660 руб.;остатки
Asus F8Vr Blue C2D(Pn)-T5900 2,2 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();30410 руб.;остатки
Asus F8Vr Pink C2D(Pn)-P5800 2,0 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();45920 руб.;остатки
Asus F8Vr Red C2D(Pn)-P7350 2,0 ГГц / 14.1'' WXGA / 3072Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB (90NR9A2B91529AMC306Y);36370 руб.;остатки
Asus F8Vr White C2D(Pn)-T5900 2,2 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();28900 руб.;остатки
Asus F8Vr White C2D(Pn)-P7350 2,0 ГГц / 14.1'' WXGA / 3072Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();30930 руб.;остатки
Asus F8Vr White C2D(Pn)-P8400 2,26 ГГц / 14.1'' WXGA / 3072Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();35380 руб.;остатки
Asus F8Vr Red C2D(Pn)-P8400 2,26 ГГц / 14.1'' WXGA / 3072Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();33270 руб.;остатки
Asus G2Sv C2D(Pn)-T9300 2,5 ГГц / 17.0'' WXGA+ / 4096Mb / 320Gb / GeForce 9650M GS-v512Mb / DVD-RWx2 / WiFi / VHP (90N-SRXA6296448KMC0T);51560 руб.;есть
Asus X58Le P-M-T3400 2,16 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / VHB (90NUAA5292211AMC206Y);21990 руб.;предзаказ
Asus X58Le P-M-T3400 2,16 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / Linux (90NUAA5292211LXC206Y);20090 руб.;предзаказ
Asus X58Le C2D-T5900 2,2 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / VHB (90NUAA5292B11AMC206Y);24890 руб.;предзаказ
Asus X58Le P-M-T4200 2,0 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / VHB (90NUAA5292511AMC206Y);20570 руб.;остатки
Asus X58Le P-M-T4200 2,0 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / Linux ();21890 руб.;остатки
Asus X58Le C2D-T5900 2,2 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / Linux без графической оболочки ();24230 руб.;остатки
Asus X58Le P-M-T3400 2,16 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / Linux без графической оболочки ();18820 руб.;остатки
Asus X58Le C2D-T5900 2,2 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / Linux (90NUAA5292B11LXC206Y);23160 руб.;предзаказ
Asus Lamborghini VX2S Yellow C2D(SR)-T7700 2,4 ГГц / 15.4'' WSXGA+ / 2048Mb / 200Gb / GeForce 8600M GT-v512Mb / Blu-Ray Combo / WiFi / VU ();54640 руб.;остатки
Asus Lamborghini VX2S Black C2D(SR)-T7700 2,4 ГГц / 15.4'' WSXGA+ / 2048Mb / 200Gb / GeForce 8600M GT-v512Mb / Blu-Ray Combo / WiFi / VU ();54940 руб.;есть
Asus F80L P-M-T3400 2,16 ГГц / 14.1'' WXGA / 2048Mb / 160Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / DOS ();26260 руб.;остатки
Asus C90S C2D-E6420 2,13 ГГц / 15.4'' WSXGA+ / 2048Mb / 250Gb / GeForce 8600M GT-v512Mb / DVD-RWx2 / WiFi / VHB (90NQ0A26916BPAMC206Y);27400 руб.;остатки
Asus 1602 Intel® Atom-N270 1,6 ГГц / 15.6'' WXGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H ();21800 руб.;предзаказ
Asus 1602 Intel® Atom-N270 1,6 ГГц / 15.6'' WXGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (90PE0RC2122204578CQZ);20380 руб.;есть
Asus X50Z A64X2-QL-60 1,9 ГГц / 15.4'' WXGA / 2048Mb / 120Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHB ();34190 руб.;остатки
Asus X50Z A64X2-QL-60 1,9 ГГц / 15.4'' WXGA / 4096Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHB ();27530 руб.;остатки
Asus X50Z A64X2-QL-60 1,9 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHB ();23190 руб.;остатки
Asus X50Z A64X2-QL-60 1,9 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / DOS ();19870 руб.;остатки
Asus X50Z TurX2-RM-70 2,0 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHB ();20870 руб.;остатки
Asus N81Vp C2D-P8600 2,4 ГГц / 14.0'' WXGA / 4096Mb / 320Gb / ATI Radeon HD 4650-v1024Mb / DVD-RWx2 / WiFi / VHP ();48540 руб.;остатки
Asus F50Gx C2D-T5900 2,2 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / NVIDIA® GeForce™ 9400M G-v128Mb / DVD-RWx2 / WiFi / VHB (90NSTAB692224AMC106Y);29510 руб.;предзаказ
Asus F50Gx P-M-T3400 2,16 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / NVIDIA® GeForce™ 9400M G-v128Mb / DVD-RWx2 / WiFi / VHB ();27910 руб.;предзаказ
Asus F50Gx C2D-T5900 2,2 ГГц / 16.0'' WXGA / 3072Mb / 250Gb / NVIDIA® GeForce™ 9400M G-v128Mb / DVD-RWx2 / WiFi / VHB (90NSTAB692222AMC106Y);29120 руб.;остатки
Asus X61Gx P-M-T3400 2,16 ГГц / 16.0'' WXGA / 2048Mb / 250Gb / NVIDIA® GeForce™ 9400M G-v128Mb / DVD-RWx2 / WiFi / VHB (90NSTAB692324AMC106Y);26520 руб.;предзаказ
Asus X61Gx C2D-T5900 2,2 ГГц / 16.0'' WXGA / 3072Mb / 250Gb / NVIDIA® GeForce™ 9400M G-v128Mb / DVD-RWx2 / WiFi / VHB ();26530 руб.;остатки
Asus F80S C2D-T5750 2,0 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();25250 руб.;предзаказ
Asus F80S C2D-T5900 2,2 ГГц / 14.1'' WXGA / 3072Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB (90NM8A4793M33AMC406Y);27900 руб.;есть
Asus F80S C2D-T5800 2,0 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();27330 руб.;остатки
Asus F80S P-M-T3200 2,0 ГГц / 14.1'' WXGA / 2048Mb / 160Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();33170 руб.;остатки
Asus F80S P-M-T3400 2,16 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();24480 руб.;остатки
Asus F80S C2D-T5750 2,0 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();27560 руб.;остатки
Asus F80S C2D-T5900 2,2 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();29310 руб.;остатки
Asus F80S C2D-T5900 2,2 ГГц / 14.1'' WXGA / 3072Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB (90NM8A3793M36AMC406Y);29630 руб.;остатки
Asus F80S C2D-T5800 2,0 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();27510 руб.;остатки
Asus F80S P-M-T3400 2,16 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB (90NM8A4793K34AMC406Y);24810 руб.;предзаказ
Asus F80S CD-T2390 1,86 ГГц / 14.1'' WXGA / 2048Mb / 160Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();21490 руб.;остатки
Asus F80S P-M-T3400 2,16 ГГц / 14.1'' WXGA / 2048Mb / 160Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB ();24760 руб.;остатки
Asus K50IJ Cel Duo-T3000 1,8 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X4500-v256Mb / DVD-RWx2 / WiFi / Linux (90NVKA3191933LGC106Y);17500 руб.;есть
Asus K50IJ Cel ULV-900 2,2 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X4500-v256Mb / DVD-RWx2 / WiFi / VHB (90NVKA3191433AMC106Y);20690 руб.;предзаказ
Asus K50IJ Cel ULV-900 2,2 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X4500-v256Mb / DVD-RWx2 / WiFi / Linux (90NVKA3191433LGC106Y);17950 руб.;есть
Asus K50IJ Cel Duo-T3000 1,8 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / Intel GMA X4500-v256Mb / DVD-RWx2 / WiFi / VHB (90NVKA3191933AMC106Y);18890 руб.;есть
